iter	Passed	Remaining
638	1752	990
639	1754	986
640	1756	983
641	1758	980
642	1759	976
643	1762	974
644	1765	971
645	1767	968
646	1770	965
647	1771	962
648	1773	959
649	1775	955
650	1777	952
651	1781	951
652	1784	948
653	1786	945
654	1788	942
655	1790	939
656	1793	936
657	1795	933
658	1799	930
659	1801	927
660	1802	924
661	1805	921
662	1807	918
663	1810	916
664	1813	913
665	1815	910
666	1816	907
667	1820	904
668	1822	901
669	1826	899
670	1829	896
671	1831	894
672	1833	890
673	1835	887
674	1836	884
675	1838	881
676	1841	878
677	1843	875
678	1848	874
679	1850	870
680	1851	867
681	1853	864
682	1856	861
683	1857	858
684	1859	855
685	1861	851
686	1863	848
687	1865	845
688	1866	842
689	1868	839
690	1869	836
691	1872	833
692	1875	830
693	1877	827
694	1878	824
695	1880	821
696	1881	818
697	1883	815
698	1885	811
699	1888	809
700	1889	806
701	1891	802
702	1893	799
703	1894	796
704	1896	793
705	1898	790
706	1899	787
707	1903	784
708	1905	782
709	1909	779
710	1911	776
711	1912	773
712	1914	770
713	1916	767
714	1919	764
715	1921	762
716	1923	759
717	1925	756
718	1927	753
719	1928	750
720	1930	747
721	1932	744
722	1934	741
723	1938	738
724	1940	735
725	1941	732
726	1943	729
727	1945	726
728	1946	723
729	1948	720
730	1951	718
731	1952	714
732	1954	711
733	1955	708
734	1957	705
735	1959	702
736	1960	699
737	1962	696
738	1963	693
739	1966	691
740	1968	688
741	1970	685
742	1971	682
743	1973	679
744	1975	676
745	1977	673
746	1978	670
747	1997	672
748	1999	670
749	2002	667
750	2003	664
751	2005	661
752	2007	658
753	2009	655
754	2013	653
755	2017	651
756	2019	648
757	2021	645
758	2022	642
759	2024	639
760	2026	636
761	2028	633
762	2031	630
763	2033	628
764	2035	625
765	2036	622
766	2038	619
767	2040	616
768	2042	613
769	2045	610
770	2046	607
771	2048	605
772	2050	602
773	2052	599
774	2054	596
775	2056	593
776	2057	590
777	2060	587
778	2063	585
779	2065	582
780	2067	579
781	2068	576
782	2070	573
783	2072	570
784	2074	568
785	2077	565
786	2079	562
787	2081	560
788	2084	557
789	2086	554
790	2087	551
791	2090	548
792	2093	546
793	2095	543
794	2097	540
795	2099	538
796	2101	535
797	2102	532
798	2104	529
799	2107	526
800	2110	524
801	2111	521
802	2113	518
803	2115	515
804	2117	512
805	2119	510
806	2121	507
807	2124	504
808	2126	502
809	2128	499
810	2130	496
811	2132	493
812	2133	490
813	2135	487
814	2138	485
815	2140	482
816	2143	480
817	2144	477
818	2146	474
819	2148	471
820	2149	468
821	2151	465
822	2154	463
823	2156	460
824	2158	457
825	2160	455
826	2162	452
827	2163	449
828	2165	446
829	2166	443
830	2170	441
831	2173	438
832	2175	436
833	2176	433
834	2178	430
835	2180	427
836	2182	424
837	2185	422
838	2189	420
839	2192	417
840	2194	414
841	2196	412
842	2199	409
843	2201	406
844	2205	404
845	2207	401
846	2209	399
847	2211	396
848	2213	393
849	2216	391
850	2219	388
851	2221	385
852	2222	383
853	2224	380
854	2225	377
855	2227	374
856	2230	372
857	2232	369
858	2233	366
859	2235	363
860	2237	361
861	2239	358
862	2240	355
863	2242	352
864	2244	350
865	2247	347
866	2248	344
867	2250	342
868	2252	339
869	2253	336
870	2255	333
871	2256	331
872	2258	328
873	2260	325
874	2262	323
875	2264	320
876	2266	317
877	2267	315
878	2269	312
879	2271	309
880	2272	306
881	2274	304
882	2276	301
883	2279	299
884	2281	296
885	2283	293
886	2284	291
887	2286	288
888	2287	285
889	2291	283
890	2293	280
891	2295	277
892	2297	275
893	2299	272
894	2300	269
895	2302	267
896	2303	264
897	2305	261
898	2306	259
899	2309	256
900	2311	253
901	2313	251
902	2314	248
903	2316	245
904	2317	243
905	2319	240
906	2321	238
907	2324	235
908	2326	232
909	2327	230
910	2329	227
911	2330	224
912	2332	222
913	2334	219
914	2336	217
915	2337	214
916	2340	211
917	2342	209
918	2344	206
919	2345	203
920	2347	201
921	2349	198
922	2350	196
923	2353	193
924	2355	191
925	2357	188
926	2359	185
927	2361	183
928	2362	180
929	2364	177
930	2366	175
931	2367	172
932	2369	170
933	2372	167
934	2374	165
935	2376	162
936	2377	159
937	2379	157
938	2381	154
939	2382	152
940	2384	149
941	2386	146
942	2390	144
943	2392	141
944	2393	139
945	2395	136
946	2397	134
947	2398	131
948	2400	128
949	2403	126
950	2406	123
951	2408	121
952	2411	118
953	2412	116
954	2414	113
955	2416	111
956	2419	108
957	2423	106
958	2425	103
959	2426	101
960	2428	98
961	2430	95
962	2431	93
963	2435	90
964	2437	88
965	2439	85
966	2440	83
967	2442	80
968	2444	78
969	2445	75
970	2447	73
971	2450	70
972	2452	68
973	2454	65
974	2455	62
975	2457	60
976	2458	57
977	2460	55
978	2462	52
979	2465	50
980	2467	47
981	2468	45
982	2470	42
983	2472	40
984	2473	37
985	2475	35
986	2476	32
987	2479	30
988	2482	27
989	2484	25
990	2488	22
991	2490	20
992	2493	17
993	2495	15
994	2498	12
995	2501	10
996	2504	7
997	2508	5
998	2511	2
999	2514	0
